variant,soc_enabled,soc_threshold,soc_neighbor_coupling,soc_align_relax,speed_ratio,seed,safe_frac,captured_frac,chi,chi_local,tau_P_ar1,xi_fluct,soc_topple_steps,soc_topple_events_total,soc_topple_size_mean,soc_branch_ratio
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,15,0.4140625,0.015625,0.9885280646799477,3.3714325068891817,198.99999999999983,12.5,581.0,1885.0,3.244406196213425,1.119202928297756
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,13,0.3046875,0.0,0.6747187717787063,0.6701234679680026,198.99999999999983,22.5,584.0,2215.0,3.7928082191780823,1.1094778815619295
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,14,0.3671875,0.0078125,0.22193328827445627,4.555817306525895,198.99999999999983,7.5,592.0,2040.0,3.445945945945946,1.1125369601257924
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,12,0.3359375,0.0,1.6192620359523087,2.0445325881647696,198.99999999999983,7.5,536.0,1478.0,2.7574626865671643,1.1436878801364783
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,17,0.4609375,0.0,0.6376528711356989,6.024382530306149,141.994666005039,12.5,548.0,2133.0,3.8923357664233578,1.0949254229418763
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,16,0.3125,0.0,0.26581583482857873,6.362094138893463,198.99999999999983,7.5,585.0,2065.0,3.52991452991453,1.109491131965447
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,18,0.3828125,0.0078125,0.7741405949581801,2.0733600641054326,198.99999999999983,7.5,568.0,1712.0,3.0140845070422535,1.1447466212016475
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,19,0.3515625,0.0,0.5007892028354886,2.35529652116252,198.99999999999983,7.5,570.0,1867.0,3.2754385964912283,1.1185684994560214
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,23,0.4375,0.0,0.2808240577351287,0.8242658796189501,198.99999999999983,7.5,562.0,2104.0,3.7437722419928825,1.099405051276709
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,20,0.3359375,0.0078125,0.636413091723053,4.418453981667801,198.99999999999983,12.5,550.0,1712.0,3.112727272727273,1.115041515861188
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,22,0.3828125,0.0078125,0.2057255688457787,0.6717445207343922,198.99999999999983,12.5,514.0,1351.0,2.6284046692607004,1.1755182709861074
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,21,0.3828125,0.0,0.38837469544447967,6.01836337895078,198.99999999999983,17.5,579.0,2035.0,3.5146804835924006,1.107082440819465
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,24,0.359375,0.0,0.2508907865314956,3.763316800341745,198.99999999999983,7.5,578.0,1945.0,3.365051903114187,1.100787461142747
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,25,0.3046875,0.0078125,0.653643025378462,5.684996773319986,198.99999999999983,27.5,587.0,2518.0,4.289608177172061,1.104890490150729
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,26,0.3515625,0.0,0.7374287900537194,4.593449601180834,198.99999999999983,17.5,585.0,2198.0,3.7572649572649572,1.0964544540315089
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,0,0.359375,0.1171875,0.4821178858890315,0.046845289798350724,198.99999999999983,17.5,528.0,1471.0,2.7859848484848486,1.1216830818348844
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,27,0.390625,0.0078125,0.4502673788906808,3.413179964298693,198.99999999999983,17.5,582.0,2055.0,3.5309278350515463,1.1050125672759061
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,1,0.2734375,0.21875,0.597346812124163,0.08660607115159594,198.99999999999983,7.5,584.0,1948.0,3.335616438356164,1.0788987646620578
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,28,0.3828125,0.015625,0.6824387893822943,6.350692380379972,198.99999999999983,7.5,571.0,1978.0,3.4640980735551663,1.1081897293739398
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.1,29,0.3515625,0.0,0.47530118810933875,1.0596281488166317,198.99999999999983,12.5,579.0,2099.0,3.6252158894645943,1.1102113835495733
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,2,0.359375,0.21875,0.40066995976159114,7.462607847367838,198.99999999999983,7.5,583.0,2496.0,4.281303602058319,1.0759357814770185
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,3,0.375,0.21875,0.6029723838426322,1.7838145594724861,198.99999999999983,12.5,557.0,2130.0,3.8240574506283664,1.0681034193624122
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,4,0.34375,0.2265625,0.20177968341710678,3.281094479082312,198.99999999999983,0.0,576.0,2147.0,3.7274305555555554,1.0818938066764154
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,6,0.375,0.1796875,0.22110046213330814,5.118444344683993,198.99999999999983,22.5,561.0,1667.0,2.971479500891266,1.099749149659864
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,5,0.3828125,0.171875,0.23909981612059827,3.1490367889024546,198.99999999999983,7.5,576.0,2354.0,4.086805555555555,1.0741279927801668
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,7,0.3671875,0.2109375,0.25076350077041965,3.231178383105249,198.99999999999983,7.5,569.0,2129.0,3.741652021089631,1.0849654355816327
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,8,0.3359375,0.21875,0.1964162200888696,3.2328448879198635,198.99999999999983,12.5,576.0,2082.0,3.6145833333333335,1.0805468878947138
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,9,0.3046875,0.2265625,0.3511663987313426,3.742261809508113,198.99999999999983,7.5,591.0,2219.0,3.754653130287648,1.0984279844449336
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,11,0.375,0.25,0.5033388749408766,0.6767298111530269,198.99999999999983,12.5,558.0,1861.0,3.335125448028674,1.077444358952438
soc_th030_cp010_rx000,True,0.3,0.1,0.0,1.3,10,0.2421875,0.1796875,0.5587887743776583,0.13707015503488823,198.99999999999983,17.5,574.0,2125.0,3.702090592334495,1.0883296313924586
